⺮,zhú,бамбук
二,èr,двойка
儿,ér,человечек
冂,jiōng,пустыня
冖,mí,крышка
几,jǐ,столик
力,lì,сила
勹,bāo,завертывать
匕,bǐ,ложка
匚,fāng,ящик
十,shí,десятка
卜,bǔ,гадать
卩,jié,коленце бамбука
厂,hǎn,обрыв
厶,sī,частный
又,yòu,опять
口,kǒu,рот
囗,wéi,ограда
土,tú,земля
士,shì,воин
夕,xī,вечер
大,dà,большой
失,shǐ,стрела
女,nǚ,женщина
子,zǐ,сын
寸,cùn,цунь
小,xiǎo,маленький
尸,shī,труп
山,shān,гора
工,gōng,работа
干,gān,щит
广,yǎn,навес
廾,gǒng,сложенные руки
彳,chì,шаг левой ногой
忄,xīn,сердце
戈,gē,китайский клевец
斤,jīn,топор
方,fāng,квадрат
日,rì,солнце
月,yuè,"луна,месяц"
木,mù,дерево
欠,qiàn,недоставать
母,mǔ,мать
灬,huǒ,огонь
父,fù,отец
牛,niú,корова
玉,yù,нефрит
王,wáng,император
生,shēng,рождаться
田,tián,поле
白,bái,белый
皮,pí,кожа
目,mù,глаз
示,shì,демонстрировать 礻- в левой части слов
禾,hé,злак
立,lì,стоять
羊,yáng,баран
聿,yù,орудие письма
自,zì,сам
艮,gēn,крепкий
虫,chóng,насекомое
衣,yī,одежда
覀,xī,графема запад
见,jiàn,видеть
讠,yán,речь
豕,shǐ,свинья
足,zú,нога
身,shēn,тело
里,lǐ,китайская верста
长,cháng,длинный
门,mén,ворота
阝,yì,город
隹,zhuī,короткохвостая птица
青,qīng,"молодой, зеленый"
马,mǎ,лошадь
高,gāo,высокий
人亻,rén,человек
刀刂,dāo,нож
彐彑,jì,свиная голова
手扌,shǒu,рука
水氵,shuǐ,вода
爪爫,zhǎo,когти
糸纟,mì,шелк
罒网,wǎng,сеть
老耂,lǎo,старый
艹艸,cǎo,трава
足⻊,zú,нога
羊⺶⺷,yáng,баран
