不,bù,ставится перед 是
也,yě,"наречие ""тоже, также"
事,shì,"дела, события, случай"
京,jīng,столица
亻,rén,человек
他,tā,он
们,men,суф.множ.числа
住,zhù,жить
你,nǐ,ты
儿,èr,суффикс эризации
再,zài,"снова, еще раз (наречие)"
北,běi,север
叫,jiào,"глагол ""звать"
吗,ma,"вопросительная частица, ставится в конце предложения и создает общий вопрос"
呢,ne,вопросительная частица
哪,nǎ,"какой"" (какой/который из нескольких объектов) (вопросительное слово)"
国,guó,страна
在,zài,"в"", ""на"" (предлог)"
坐,zuò,садиться
多,duō,много
她,tā,она
好,hǎo,хороший (прилагательное)
妈,mā,мама
姓,xìng,"глагол ""носить фамилию"
家,jiā,"дом, семья"
岁,suì,возраст
师,shī,"учитель, наставник"
很,hěn,очень (наречие степени)
您,nín,вы (вежливая форма)
是,shì,"быть, есть (глагол)"
没,méi,не
老,lǎo,"старый, мудрый"
请,qǐng,"просить, пожалуйста"
贵,guì,"дорогой,ценный; ваш"
进,jìn,входить
问,wèn,спрашивать
什么,shénme,что?какой? (вопросительное слово)
他们,tāmen,они (мужчины и женщины)
你们,nǐmen,вы
你好,nǐhǎo,"привет, здравствуйте!"
先生,xiānsheng,господин (обращение)
再见,zàijiàn,"пока, до свидания"
北京,běijīng,пекин
名字,míngzi,имя
大家,dàjiā,все
她们,tāmen,они (только женщины)
小姐,xiǎojiě,девушка (обращение)
很好,hěnhǎo,"очень хорошо, хороший!"
我们,wǒmen,мы
日本,rìběn,япония
早上,zǎoshàng,утро
朋友,péngyou,друг
楷书,kǎishū,кайшу (стиль деловой скорописи)
法国,fǎguó,франция
练习,liànxí,задание
美国,měiguó,сша
老师,lǎoshī,учитель
英国,yīngguó,англия
草书,cǎoshū,цаошу (скоропись)
行书,xíngshū,синшу (скоропись)
请坐,qǐngzuò,присаживайтесь
请进,qǐngjìn,заходите
请问,qǐngwèn,разрешите спросить; скажите пожалуйста
金文,jīnwén,надпись на бронзе (обычно на ритуальных сосудах) 篆 (小篆 xiǎozhuàn +大篆 dàzhuàn) чжуань (ныне применяется для гравировки печатей)
隶书,lìshū,лишу
你贵姓,nǐguìxìng,какая у вас фамилия?
俄罗斯,éluósī,россия
甲骨文,jiǎgǔwén,"цзягувэнь, гадательные надписи на костях и черепашьих панцирях (xiv - xi вв. до н. э.)"
莫斯科,mòsīkē,москва
不好意思,bùhǎoyìsi,извините
圣彼得堡,shèngbǐdébǎo,санкт-петербург
